project_name,requirement_id,expected_implemented,predicted_implemented,predicted_status,outcome
participium-team01,PT01,True,True,implemented,true_positive
participium-team01,PT02,True,True,implemented,true_positive
participium-team01,PT03,True,True,implemented,true_positive
participium-team01,PT04,True,False,not_implemented,false_negative
participium-team01,PT05,True,True,implemented,true_positive
participium-team01,PT06,True,True,partially_implemented,true_positive
participium-team01,PT07,True,True,partially_implemented,true_positive
participium-team01,PT08,True,True,implemented,true_positive
participium-team01,PT09,True,True,implemented,true_positive
participium-team01,PT10,True,True,implemented,true_positive
participium-team01,PT11,True,True,implemented,true_positive
participium-team01,PT12,False,False,not_assessable,true_negative
participium-team01,PT13,False,False,not_assessable,true_negative
participium-team01,PT14,False,False,not_assessable,true_negative
participium-team01,PT15,True,True,partially_implemented,true_positive
participium-team01,PT16,False,False,not_implemented,true_negative
participium-team01,PT17,False,False,not_assessable,true_negative
participium-team01,PT18,False,True,implemented,false_positive
participium-team01,PT19,False,True,partially_implemented,false_positive
participium-team01,PT20,False,False,not_implemented,true_negative
participium-team01,PT21,False,False,not_implemented,true_negative
participium-team01,PT22,False,True,partially_implemented,false_positive
participium-team01,PT23,False,False,not_implemented,true_negative
participium-team01,PT24,True,True,implemented,true_positive
participium-team01,PT25,True,True,implemented,true_positive
participium-team01,PT26,True,True,implemented,true_positive
participium-team01,PT27,True,True,implemented,true_positive
participium-team01,PT28,True,True,partially_implemented,true_positive
participium-team01,PT29,False,True,partially_implemented,false_positive
participium-team01,PT30,True,False,not_implemented,false_negative
participium-team02,PT01,True,True,implemented,true_positive
participium-team02,PT02,True,True,implemented,true_positive
participium-team02,PT03,True,True,implemented,true_positive
participium-team02,PT04,True,True,partially_implemented,true_positive
participium-team02,PT05,True,True,implemented,true_positive
participium-team02,PT06,True,True,implemented,true_positive
participium-team02,PT07,True,True,implemented,true_positive
participium-team02,PT08,True,True,implemented,true_positive
participium-team02,PT09,False,True,implemented,false_positive
participium-team02,PT10,False,True,implemented,false_positive
participium-team02,PT11,False,True,implemented,false_positive
participium-team02,PT12,False,False,not_implemented,true_negative
participium-team02,PT13,False,False,not_implemented,true_negative
participium-team02,PT14,False,False,not_implemented,true_negative
participium-team02,PT15,False,False,not_implemented,true_negative
participium-team02,PT16,False,False,not_implemented,true_negative
participium-team02,PT17,False,False,not_implemented,true_negative
participium-team02,PT18,False,False,not_implemented,true_negative
participium-team02,PT19,False,True,partially_implemented,false_positive
participium-team02,PT20,False,False,not_implemented,true_negative
participium-team02,PT21,False,False,not_implemented,true_negative
participium-team02,PT22,False,True,implemented,false_positive
participium-team02,PT23,False,False,not_implemented,true_negative
participium-team02,PT24,True,True,implemented,true_positive
participium-team02,PT25,True,True,partially_implemented,true_positive
participium-team02,PT26,True,True,implemented,true_positive
participium-team02,PT27,False,False,not_implemented,true_negative
participium-team02,PT28,True,True,implemented,true_positive
participium-team02,PT29,False,False,not_implemented,true_negative
participium-team02,PT30,False,True,implemented,false_positive
participium-team03,PT01,True,True,implemented,true_positive
participium-team03,PT02,True,True,implemented,true_positive
participium-team03,PT03,True,True,implemented,true_positive
participium-team03,PT04,True,False,not_assessable,false_negative
participium-team03,PT05,True,True,implemented,true_positive
participium-team03,PT06,True,True,implemented,true_positive
participium-team03,PT07,True,True,implemented,true_positive
participium-team03,PT08,True,True,implemented,true_positive
participium-team03,PT09,True,True,partially_implemented,true_positive
participium-team03,PT10,True,True,implemented,true_positive
participium-team03,PT11,True,True,implemented,true_positive
participium-team03,PT12,True,True,partially_implemented,true_positive
participium-team03,PT13,True,False,not_implemented,false_negative
participium-team03,PT14,False,True,partially_implemented,false_positive
participium-team03,PT15,False,True,implemented,false_positive
participium-team03,PT16,False,False,not_implemented,true_negative
participium-team03,PT17,False,True,partially_implemented,false_positive
participium-team03,PT18,False,True,implemented,false_positive
participium-team03,PT19,False,False,not_implemented,true_negative
participium-team03,PT20,False,False,not_implemented,true_negative
participium-team03,PT21,False,False,not_implemented,true_negative
participium-team03,PT22,False,True,partially_implemented,false_positive
participium-team03,PT23,False,False,not_implemented,true_negative
participium-team03,PT24,True,True,implemented,true_positive
participium-team03,PT25,True,True,implemented,true_positive
participium-team03,PT26,True,True,implemented,true_positive
participium-team03,PT27,True,True,implemented,true_positive
participium-team03,PT28,True,True,implemented,true_positive
participium-team03,PT29,False,False,not_implemented,true_negative
participium-team03,PT30,True,True,partially_implemented,true_positive
participium-team04,PT01,True,True,implemented,true_positive
participium-team04,PT02,True,False,not_implemented,false_negative
participium-team04,PT03,True,False,not_implemented,false_negative
participium-team04,PT04,True,False,not_implemented,false_negative
participium-team04,PT05,True,False,not_implemented,false_negative
participium-team04,PT06,True,False,not_implemented,false_negative
participium-team04,PT07,True,False,not_implemented,false_negative
participium-team04,PT08,True,False,not_implemented,false_negative
participium-team04,PT09,True,False,not_implemented,false_negative
participium-team04,PT10,True,False,not_implemented,false_negative
participium-team04,PT11,True,False,not_implemented,false_negative
participium-team04,PT12,True,True,implemented,true_positive
participium-team04,PT13,True,True,implemented,true_positive
participium-team04,PT14,True,False,not_assessable,false_negative
participium-team04,PT15,True,False,not_implemented,false_negative
participium-team04,PT16,False,False,not_implemented,true_negative
participium-team04,PT17,False,False,not_implemented,true_negative
participium-team04,PT18,True,False,not_implemented,false_negative
participium-team04,PT19,False,False,not_implemented,true_negative
participium-team04,PT20,False,False,not_implemented,true_negative
participium-team04,PT21,False,False,not_implemented,true_negative
participium-team04,PT22,False,False,not_implemented,true_negative
participium-team04,PT23,False,False,not_implemented,true_negative
participium-team04,PT24,True,False,not_implemented,false_negative
participium-team04,PT25,True,False,not_implemented,false_negative
participium-team04,PT26,True,True,partially_implemented,true_positive
participium-team04,PT27,True,False,not_implemented,false_negative
participium-team04,PT28,True,False,not_implemented,false_negative
participium-team04,PT29,False,False,not_implemented,true_negative
participium-team04,PT30,True,False,not_implemented,false_negative
participium-team05,PT01,True,True,implemented,true_positive
participium-team05,PT02,True,True,implemented,true_positive
participium-team05,PT03,True,False,not_implemented,false_negative
participium-team05,PT04,True,True,partially_implemented,true_positive
participium-team05,PT05,True,True,implemented,true_positive
participium-team05,PT06,True,True,implemented,true_positive
participium-team05,PT07,True,False,not_implemented,false_negative
participium-team05,PT08,True,True,partially_implemented,true_positive
participium-team05,PT09,True,True,partially_implemented,true_positive
participium-team05,PT10,True,False,not_implemented,false_negative
participium-team05,PT11,True,True,implemented,true_positive
participium-team05,PT12,True,False,not_assessable,false_negative
participium-team05,PT13,True,False,not_assessable,false_negative
participium-team05,PT14,True,False,not_assessable,false_negative
participium-team05,PT15,True,True,partially_implemented,true_positive
participium-team05,PT16,False,False,not_implemented,true_negative
participium-team05,PT17,False,False,not_assessable,true_negative
participium-team05,PT18,False,False,not_implemented,true_negative
participium-team05,PT19,False,False,not_implemented,true_negative
participium-team05,PT20,False,False,not_implemented,true_negative
participium-team05,PT21,False,False,not_implemented,true_negative
participium-team05,PT22,False,True,partially_implemented,false_positive
participium-team05,PT23,False,False,not_implemented,true_negative
participium-team05,PT24,True,True,implemented,true_positive
participium-team05,PT25,True,True,implemented,true_positive
participium-team05,PT26,True,False,not_implemented,false_negative
participium-team05,PT27,True,False,not_implemented,false_negative
participium-team05,PT28,True,False,not_implemented,false_negative
participium-team05,PT29,False,False,not_implemented,true_negative
participium-team05,PT30,True,False,not_implemented,false_negative
participium-team06,PT01,True,True,implemented,true_positive
participium-team06,PT02,True,True,implemented,true_positive
participium-team06,PT03,True,True,implemented,true_positive
participium-team06,PT04,True,False,not_implemented,false_negative
participium-team06,PT05,True,True,implemented,true_positive
participium-team06,PT06,True,True,implemented,true_positive
participium-team06,PT07,True,False,not_implemented,false_negative
participium-team06,PT08,True,True,implemented,true_positive
participium-team06,PT09,True,True,implemented,true_positive
participium-team06,PT10,True,True,implemented,true_positive
participium-team06,PT11,True,True,implemented,true_positive
participium-team06,PT12,True,False,not_implemented,false_negative
participium-team06,PT13,False,False,not_implemented,true_negative
participium-team06,PT14,False,False,not_implemented,true_negative
participium-team06,PT15,True,False,not_implemented,false_negative
participium-team06,PT16,False,False,not_implemented,true_negative
participium-team06,PT17,False,False,not_implemented,true_negative
participium-team06,PT18,False,True,implemented,false_positive
participium-team06,PT19,False,False,not_implemented,true_negative
participium-team06,PT20,False,False,not_implemented,true_negative
participium-team06,PT21,False,False,not_implemented,true_negative
participium-team06,PT22,False,True,partially_implemented,false_positive
participium-team06,PT23,False,False,not_implemented,true_negative
participium-team06,PT24,True,True,implemented,true_positive
participium-team06,PT25,True,True,implemented,true_positive
participium-team06,PT26,True,True,implemented,true_positive
participium-team06,PT27,True,True,implemented,true_positive
participium-team06,PT28,True,False,not_implemented,false_negative
participium-team06,PT29,False,False,not_implemented,true_negative
participium-team06,PT30,True,False,not_implemented,false_negative
participium-team07,PT01,True,True,implemented,true_positive
participium-team07,PT02,True,True,implemented,true_positive
participium-team07,PT03,True,False,not_implemented,false_negative
participium-team07,PT04,True,False,not_assessable,false_negative
participium-team07,PT05,True,True,implemented,true_positive
participium-team07,PT06,True,True,implemented,true_positive
participium-team07,PT07,True,False,not_assessable,false_negative
participium-team07,PT08,True,True,implemented,true_positive
participium-team07,PT09,True,True,implemented,true_positive
participium-team07,PT10,True,False,not_implemented,false_negative
participium-team07,PT11,True,True,implemented,true_positive
participium-team07,PT12,True,False,not_implemented,false_negative
participium-team07,PT13,True,False,not_implemented,false_negative
participium-team07,PT14,True,False,not_implemented,false_negative
participium-team07,PT15,True,True,partially_implemented,true_positive
participium-team07,PT16,False,False,not_implemented,true_negative
participium-team07,PT17,False,False,not_implemented,true_negative
participium-team07,PT18,False,False,not_implemented,true_negative
participium-team07,PT19,False,False,not_implemented,true_negative
participium-team07,PT20,False,False,not_implemented,true_negative
participium-team07,PT21,False,False,not_implemented,true_negative
participium-team07,PT22,False,False,not_implemented,true_negative
participium-team07,PT23,False,False,not_implemented,true_negative
participium-team07,PT24,True,True,implemented,true_positive
participium-team07,PT25,True,True,implemented,true_positive
participium-team07,PT26,True,False,not_implemented,false_negative
participium-team07,PT27,True,True,implemented,true_positive
participium-team07,PT28,True,False,not_assessable,false_negative
participium-team07,PT29,False,True,partially_implemented,false_positive
participium-team07,PT30,True,False,not_implemented,false_negative
participium-team08,PT01,True,True,implemented,true_positive
participium-team08,PT02,True,True,implemented,true_positive
participium-team08,PT03,True,True,implemented,true_positive
participium-team08,PT04,True,False,not_implemented,false_negative
participium-team08,PT05,True,True,implemented,true_positive
participium-team08,PT06,True,True,implemented,true_positive
participium-team08,PT07,True,True,partially_implemented,true_positive
participium-team08,PT08,True,True,implemented,true_positive
participium-team08,PT09,True,True,partially_implemented,true_positive
participium-team08,PT10,True,True,implemented,true_positive
participium-team08,PT11,True,True,implemented,true_positive
participium-team08,PT12,True,False,not_assessable,false_negative
participium-team08,PT13,True,False,not_assessable,false_negative
participium-team08,PT14,True,False,not_assessable,false_negative
participium-team08,PT15,True,False,not_implemented,false_negative
participium-team08,PT16,True,False,not_implemented,false_negative
participium-team08,PT17,False,False,not_assessable,true_negative
participium-team08,PT18,False,True,implemented,false_positive
participium-team08,PT19,False,True,partially_implemented,false_positive
participium-team08,PT20,False,False,not_implemented,true_negative
participium-team08,PT21,False,False,not_implemented,true_negative
participium-team08,PT22,False,True,partially_implemented,false_positive
participium-team08,PT23,False,False,not_implemented,true_negative
participium-team08,PT24,True,True,implemented,true_positive
participium-team08,PT25,True,True,implemented,true_positive
participium-team08,PT26,True,True,implemented,true_positive
participium-team08,PT27,True,True,implemented,true_positive
participium-team08,PT28,True,True,partially_implemented,true_positive
participium-team08,PT29,False,True,partially_implemented,false_positive
participium-team08,PT30,True,False,not_implemented,false_negative
participium-team09,PT01,True,True,implemented,true_positive
participium-team09,PT02,True,True,implemented,true_positive
participium-team09,PT03,True,True,implemented,true_positive
