project_name,requirement_id,expected_implemented,predicted_implemented,predicted_status,outcome
participium-team09,PT01,True,True,implemented,true_positive
participium-team09,PT02,True,True,implemented,true_positive
participium-team09,PT03,True,True,implemented,true_positive
participium-team09,PT04,True,False,not_assessable,false_negative
participium-team09,PT05,True,True,implemented,true_positive
participium-team09,PT06,True,True,implemented,true_positive
participium-team09,PT07,True,False,not_assessable,false_negative
participium-team09,PT08,True,True,implemented,true_positive
participium-team09,PT09,True,True,implemented,true_positive
participium-team09,PT10,True,True,implemented,true_positive
participium-team09,PT11,True,True,implemented,true_positive
participium-team09,PT12,False,False,not_assessable,true_negative
participium-team09,PT13,False,False,not_assessable,true_negative
participium-team09,PT14,False,False,not_assessable,true_negative
participium-team09,PT15,True,True,implemented,true_positive
participium-team09,PT16,False,False,not_implemented,true_negative
participium-team09,PT17,False,False,not_assessable,true_negative
participium-team09,PT18,False,True,implemented,false_positive
participium-team09,PT19,False,True,partially_implemented,false_positive
participium-team09,PT20,False,True,implemented,false_positive
participium-team09,PT21,False,True,implemented,false_positive
participium-team09,PT22,False,True,partially_implemented,false_positive
participium-team09,PT23,False,False,not_implemented,true_negative
participium-team09,PT24,True,True,implemented,true_positive
participium-team09,PT25,True,True,implemented,true_positive
participium-team09,PT26,True,True,implemented,true_positive
participium-team09,PT27,True,True,implemented,true_positive
participium-team09,PT28,True,False,not_assessable,false_negative
participium-team09,PT29,False,False,not_implemented,true_negative
participium-team09,PT30,True,True,partially_implemented,true_positive
participium-team01,PT01,True,True,implemented,true_positive
participium-team01,PT02,True,True,implemented,true_positive
participium-team01,PT03,True,True,implemented,true_positive
participium-team01,PT04,True,False,not_assessable,false_negative
participium-team01,PT05,True,True,implemented,true_positive
participium-team01,PT06,True,True,partially_implemented,true_positive
participium-team01,PT07,True,True,partially_implemented,true_positive
participium-team01,PT08,True,True,implemented,true_positive
participium-team01,PT09,True,True,implemented,true_positive
participium-team01,PT10,True,True,implemented,true_positive
participium-team01,PT11,True,True,implemented,true_positive
participium-team01,PT12,False,False,not_assessable,true_negative
participium-team01,PT13,False,False,not_assessable,true_negative
participium-team01,PT14,False,False,not_assessable,true_negative
participium-team01,PT15,True,False,not_assessable,false_negative
participium-team01,PT16,False,False,not_implemented,true_negative
participium-team01,PT17,False,False,not_assessable,true_negative
participium-team01,PT18,False,True,implemented,false_positive
participium-team01,PT19,False,False,not_assessable,true_negative
participium-team01,PT20,False,False,not_implemented,true_negative
participium-team01,PT21,False,False,not_implemented,true_negative
participium-team01,PT22,False,True,partially_implemented,false_positive
participium-team01,PT23,False,False,not_implemented,true_negative
participium-team01,PT24,True,True,implemented,true_positive
participium-team01,PT25,True,True,implemented,true_positive
participium-team01,PT26,True,True,implemented,true_positive
participium-team01,PT27,True,True,implemented,true_positive
participium-team01,PT28,True,True,partially_implemented,true_positive
participium-team01,PT29,False,False,not_implemented,true_negative
participium-team01,PT30,True,False,not_implemented,false_negative
